id;nom;theme;echelle;couche;cible;parametre;defaut;unite;cout_base_pts;cout_unitaire_pts;capital_base;capital_unitaire;delai_mois;montee_mois;condition;ouvre;ferme;effet_de_bord;resume
D00;Indemniser et attendre;social;quartier;ilots;rive = 'gauche' AND logements > 0;;;logement;4;0.07;4;0;1;2;disponible au mois 0;;;au mois 12 la ville a payé et rien n'a changé sous les maisons — la crue suivante trouvera le même sol;On règle les sinistrés, on remet l'eau et le courant, on ne touche à rien d'autre.
D01;Reconstruire à l'identique;logement;quartier;ilots;rive = 'gauche' AND logements > 0 AND alea <= A;A;0.80;logement;6;0.22;2;0.005;8;6;disponible au mois 0;;D02 D03 sur les mêmes îlots;on rebâtit un peu plus dense qu'avant, donc un peu plus imperméable — le sol n'a rien appris;On remet du bâti là où il y en avait, aux normes d'aujourd'hui.
D02;Adapter le bâti;logement;quartier;ilots;rive = 'gauche' AND logements > 0 AND alea <= A;A;0.80;logement;8;0.31;1;0.002;14;10;disponible au mois 0;;D01 D03 sur les mêmes îlots;les rez-de-chaussée sortent du logement — un logement sur six disparaît sans que personne ne déménage;On surélève, on vide les rez-de-chaussée, on accepte que l'eau revienne et qu'elle ne fasse plus de dégâts.
D03;Rendre à l'eau;eau;quartier;ilots;rive = 'gauche' AND alea > A;A;0.80;logement;9;0.16;-2;-0.02;4;36;disponible au mois 0;D09;D01 D02 sur les mêmes îlots;il faut reloger tout le monde ailleurs, et pendant trois ans ce n'est qu'un chantier boueux;On ne reconstruit pas. Le quartier redevient un lit de crue, une prairie, un parc inondable.
D04;Digue de berge;eau;reseau;routes;hierarchie = 'rive';;;100ml;8;2.4;3;0;10;8;disponible au mois 0;;D03 sur les îlots protégés;protège ici et aggrave en aval — l'eau qu'on ne laisse plus s'étaler descend plus vite et plus bas;Un muret de protection le long de la berge. Ce que tout le monde réclame après une crue.
D05;Retirer la voiture de l'axe de transit;mobilite;reseau;routes;largeur_m >= 20;;;100ml;5;1.6;-6;0;6;12;disponible au mois 6;;;la charge se reporte sur les rues voisines et deux d'entre elles passent le seuil de dégradation;On ferme l'axe qui coupe la ville en deux. Le trafic doit bien aller quelque part.
D06;Supprimer le stationnement sur rue;espace_public;reseau;routes;emprise_libre_m > S;S;5.0;place;2;0.004;-1;-0.004;2;6;disponible au mois 0;D07 D08;;presque gratuit en argent et très cher en politique — c'est la décision qui fait perdre une élection;On rend l'emprise du stationnement à autre chose. Sans ça, D07 et D08 n'ont pas de place où aller.
D07;Planter l'alignement;espace_public;reseau;routes;emprise_libre_m > S;S;6.0;100ml;3;1.8;-1;0;3;60;emprise disponible sur la cible;;;un arbre occupe l'emprise qu'il prend à la noue — D07 et D08 se disputent les mêmes mètres;On plante tout tronçon dont l'emprise libre dépasse S mètres. Descendre S de 8 à 6 triple le linéaire.
D08;Désimperméabiliser la chaussée;eau;reseau;routes;emprise_libre_m > S;S;6.0;100ml;4;3.2;-2;0;5;18;emprise disponible sur la cible;;;chantier long et entretien permanent, et l'effet ne se voit jamais puisqu'il consiste en une inondation qui n'a pas lieu;Noues et revêtements poreux sur tout tronçon dont l'emprise libre dépasse S mètres.
D09;Densifier le coteau;logement;quartier;ilots;rive = 'droite' AND alea < 0.35 AND desserte_tc > 0.7;;;logement_cree;12;0.18;-3;-0.03;18;24;au moins 150 logements à reloger;;;on densifie du pavillonnaire desservi, donc on affronte exactement les gens qui n'ont rien subi;Le seul sol sûr et desservi de Wehrau. C'est là que vont les gens de la rive gauche, ou nulle part.
D10;Rénovation thermique;energie;quartier;ilots;riverain >= S;S;0.50;logement;5;0.12;2;0;6;18;disponible au mois 12;;;la rénovation fait monter les loyers et chasse ceux qu'elle devait protéger — seule boucle de gentrification du prototype;On isole le parc le plus fragile. Confort d'été et charges en baisse.
